OID_,id,status,lon,lat,z,requestDate,installDate,roofAccess,notes,name,neighborhood,boroughCode,borough,neighborhoodCode
167,1635,Installed,-73.982382000000001,40.667563999999999,51,1524085449402.000000000000000,1600401600000.000000000000000,true,hub omni + sectors,ParkSlope,Park Slope,3,Brooklyn,179
168,1637,Installed,-73.982382000000001,40.667563999999999,51,1524171150428.000000000000000,1600401600000.000000000000000,true,,,Park Slope,3,Brooklyn,179
169,1659,Installed,-73.918364999999994,40.688139999999997,29,1524577438863.000000000000000,1533009600000.000000000000000,true,,,Bushwick,4,Brooklyn,157
170,1660,Installed,-73.983025900000001,40.724468799999997,20,1524580245268.000000000000000,1527998400000.000000000000000,true,,,East Village,1,Manhattan,127
171,1673,Installed,-73.945591999999991,40.718505200000003,19,1524786093031.000000000000000,1597464000000.000000000000000,true,SXT solo,,Williamsburg,4,Brooklyn,145
172,1677,Installed,-73.938875299999992,40.847266500000003,83,1524887428062.000000000000000,1537934400000.000000000000000,true,NSM5,,Washington Heights,1,Manhattan,47
173,1710,Installed,-73.904893950000002,40.703526599999996,37,1525299984160.000000000000000,1526788800000.000000000000000,true,,,Ridgewood,4,Queens,149
174,1779,Installed,-73.954768999999999,40.693812000000001,25,1525981537120.000000000000000,1533528000000.000000000000000,true,NN used for 11036,,Bedford-Stuyvesant,3,Brooklyn,169
175,1796,Installed,-73.935665999999998,40.697069999999997,38,1526392655601.000000000000000,1527566400000.000000000000000,true,,,Bedford-Stuyvesant,3,Brooklyn,169
176,1808,Installed,-73.989820899999998,40.715817399999999,26,1526642382947.000000000000000,1545368400000.000000000000000,true,,,Chinatown,1,Manhattan,138
177,1825,Installed,-73.907769000000002,40.694324999999999,28,1527026081265.000000000000000,1529035200000.000000000000000,true,,,Bushwick,4,Brooklyn,157
178,1835,Installed,-73.985688799999991,40.728283300000001,24,1527075006654.000000000000000,1527912000000.000000000000000,true,,,East Village,1,Manhattan,127
179,1848,Installed,-73.996938000000000,40.713099000000000,25,1527163326835.000000000000000,1532923200000.000000000000000,true,Hub Omni,,Chinatown,1,Manhattan,138
180,1866,Installed,-73.942640999999995,40.822909099999997,35,1527607204943.000000000000000,1529553600000.000000000000000,false,kiosk,,Harlem,1,Manhattan,71
181,1893,Installed,-73.922084999999996,40.684013000000000,23,1527907043233.000000000000000,1529208000000.000000000000000,true,,,Bedford-Stuyvesant,3,Brooklyn,169
182,1896,Installed,-73.953659000000002,40.819353999999997,54,1527954856539.000000000000000,1539230400000.000000000000000,true,Omni-sxt kiosk,,Harlem,1,Manhattan,71
183,1907,Installed,-73.998143999999996,40.718097999999998,27,1528094576415.000000000000000,1547269200000.000000000000000,true,,,Little Italy,1,Manhattan,134
184,1916,Installed,-73.917657399999996,40.657320800000001,28,1528277744764.000000000000000,1544072400000.000000000000000,false,,,East Flatbush,3,Brooklyn,194
185,1929,Installed,-73.982695000000007,40.715688999999998,55,1528816671545.000000000000000,1528776000000.000000000000000,false,NanoStation facing park,,Lower East Side,1,Manhattan,137
186,1932,Installed,-73.986000000000004,40.716099999999997,92,1528863783154.000000000000000,1592884800000.000000000000000,true,hub,410-Grand32,Lower East Side,1,Manhattan,137
187,1933,Installed,-73.984426200000001,40.715573300000003,93,1528863820601.000000000000000,1577163600000.000000000000000,true,hub,460-Grand33,Lower East Side,1,Manhattan,137
188,1934,Installed,-73.984464399999993,40.716086900000001,84,1528863842236.000000000000000,1585713600000.000000000000000,true,Supernode,Supernode-1934,Lower East Side,1,Manhattan,137
