source,target,status,installDate,fromXYZ,toXYZ,X1,Y1,Z1,X2,Y2,Z2,ORIG_FID,Shape_Length,bearingDegrees,lengthMetersGeodesic,link_ID
6450,713,active,1634529600000,"-73.9953178,40.6604104,29","-74.004904299999993,40.6578673,57",-73.9953178,40.6604104,29,-74.0049043,40.6578673,57,682,0.009918081461,255.1428214,858.4819622,673
10873,713,vpn,1638334800000,"-73.9415618,40.8176097,30","-74.004904299999993,40.6578673,57",-73.9415618,40.8176097,30,-74.0049043,40.6578673,57,733,0.1718427012,201.6297636,18528.52536,724
11002,713,active,1639371600000,"-74.0127842,40.6749414,13","-74.004904299999993,40.6578673,57",-74.0127842,40.6749414,13,-74.0049043,40.6578673,57,759,0.01880472589,155.226115,2009.705789,750
5916,713,active,1642309200000,"-73.939748,40.696079,96","-74.004904299999993,40.6578673,57",-73.939748,40.696079,96,-74.0049043,40.6578673,57,791,0.07553461353,239.6099931,6953.458495,782
11231,713,active,1643173200000,"-73.9906932,40.6690371,28","-74.004904299999993,40.6578673,57",-73.9906932,40.6690371,28,-74.0049043,40.6578673,57,800,0.01807539201,231.8329637,1727.03611,791
11217,713,active,1643691600000,"-73.9998411,40.6599712,14","-74.004904299999993,40.6578673,57",-73.9998411,40.6599712,14,-74.0049043,40.6578673,57,805,0.005482917969,247.4357605,487.774218,796
11394,713,active,1645851600000,"-74.0041303,40.649835499999988,50","-74.004904299999993,40.6578673,57",-74.0041303,40.6498355,50,-74.0049043,40.6578673,57,821,0.008069007823,354.4955781,894.3080275,812
5965,713,vpn,1646110800000,"-73.992933999999991,40.606661,30","-74.004904299999993,40.6578673,57",-73.992934,40.606661,30,-74.0049043,40.6578673,57,829,0.05258681649,346.8424614,5775.770468,820
11758,713,vpn,1647662400000,"-73.9478073,40.6318633,15","-74.004904299999993,40.6578673,57",-73.9478073,40.6318633,15,-74.0049043,40.6578673,57,844,0.06273974484,294.4862037,5627.011256,835
9623,713,vpn,1648353600000,"-73.977194799999992,40.7820341,38","-74.004904299999993,40.6578673,57",-73.9771948,40.7820341,38,-74.0049043,40.6578673,57,847,0.1272211126,192.5801918,13985.88142,838
1417,713,vpn,1648526400000,"-73.9354884,40.7136172,14","-74.004904299999993,40.6578673,57",-73.9354884,40.7136172,14,-74.0049043,40.6578673,57,852,0.08903156427,231.2310535,8529.969854,843
11816,713,active,1653192000000,"-74.01894444454609,40.6474106553065,28","-74.004904299999993,40.6578673,57",-74.01894444,40.64741066,28,-74.0049043,40.6578673,57,889,0.01750620168,53.32245342,1660.836875,880
6622,713,active,1656648000000,"-73.992696999999993,40.659883699999988,39","-74.004904299999993,40.6578673,57",-73.992697,40.6598837,39,-74.0049043,40.6578673,57,908,0.01237271362,260.6205836,1056.345087,899
135,713,vpn,1659758400000,"-73.943009,40.825018,30","-74.004904299999993,40.6578673,57",-73.943009,40.825018,30,-74.0049043,40.6578673,57,919,0.1782425099,200.319409,19284.05616,910
12117,713,vpn,1663041600000,"-73.951904,40.819047,65","-74.004904299999993,40.6578673,57",-73.951904,40.819047,65,-74.0049043,40.6578673,57,938,0.1696700703,198.2022812,18450.18244,929
12624,713,vpn,1663905600000,"-73.9803093,40.6873262,27","-74.004904299999993,40.6578673,57",-73.9803093,40.6873262,27,-74.0049043,40.6578673,57,949,0.03837630578,219.8582354,3876.341964,940
7553,729,active,1650427200000,"-73.9798859,40.728723,20","-73.980396,40.729267,22",-73.9798859,40.728723,20,-73.980396,40.729267,22,877,0.0007457466125,316.8420052,74.20514398,868
3016,731,active,1553918400000,"-73.981071,40.727889,27","-73.980730400000013,40.724676300000013,33",-73.981071,40.727889,27,-73.9807304,40.7246763,33,26,0.003230704203,173.9482932,357.9244221,26
3377,731,active,1561608000000,"-73.9795062,40.7253373,24","-73.980730400000013,40.724676300000013,33",-73.9795062,40.7253373,24,-73.9807304,40.7246763,33,59,0.001391253622,241.6334178,126.8258133,59
3623,731,active,1563336000000,"-73.9787559,40.7257547,25","-73.980730400000013,40.724676300000013,33",-73.9787559,40.7257547,25,-73.9807304,40.7246763,33,68,0.002249799282,241.3582399,205.3479187,68
1397,731,active,1564372800000,"-73.979257199999992,40.7255765,24","-73.980730400000013,40.724676300000013,33",-73.9792572,40.7255765,24,-73.9807304,40.7246763,33,73,0.001726464098,238.5729515,159.6365982,73
